STATEFP,COUNTYFP,COUSUBFP,Place,Population,Area,Density,State,lat,lon,poi_count,poke_score,visible_stops,estimated_gyms,area_km2,stationary_cluster_score,cluster_grade
50,7,59275,"Richmond town, Chittenden County, Vermont",4167,32.786505414060194,127.0949723788806,Vermont,44.3957337,-73.0033857,6,762.5698342732836,5,1,84.91672115736175,0.05888121834961513,D
33,19,11380,"Charlestown town, Sullivan County, New Hampshire",4806,37.97069021382095,126.57130994818375,New Hampshire,43.2507692,-72.3572961,0,0.0,0,0,98.34370794689411,0.0,D
33,13,12420,"Chichester town, Merrimack County, New Hampshire",2665,21.25449612524921,125.3852354012816,New Hampshire,43.262106,-71.3740385,5,626.926177006408,4,1,55.0489324194342,0.07266262621630533,D
50,11,24925,"Fairfax town, Franklin County, Vermont",5014,40.19738512624423,124.7344817144944,Vermont,44.6652883,-73.0087203,7,873.1413720014607,6,2,104.11082550312128,0.057630894491563875,D
50,21,82300,"West Rutland town, Rutland County, Vermont",2214,17.9486546383985,123.35186366912832,Vermont,43.5932378,-73.0459832,9,1110.166773022155,8,2,46.48683602690573,0.17209172926653357,D
33,1,47140,"Meredith town, Belknap County, New Hampshire",6662,54.464504754718455,122.31819659432132,New Hampshire,43.5708833,-71.5821935,0,0.0,0,0,141.06252266967323,0.0,D
33,19,31220,"Grantham town, Sullivan County, New Hampshire",3404,27.9967761597005,121.58542757147276,New Hampshire,43.5363454,-72.181633,0,0.0,0,0,72.51137028586268,0.0,D
33,5,77380,"Troy town, Cheshire County, New Hampshire",2130,17.584405937430876,121.1300516820984,New Hampshire,42.8271722,-72.1828403,7,847.9103617746888,6,2,45.543435533886594,0.13174236703192274,D
33,13,43380,"Loudon town, Merrimack County, New Hampshire",5576,46.63181094089321,119.5750258781006,New Hampshire,43.2834737,-71.4651863,2,239.1500517562012,2,1,120.77592401880399,0.016559591791561152,D
50,7,33475,"Hinesburg town, Chittenden County, Vermont",4698,39.57742587161013,118.70403131422432,Vermont,44.3293,-73.1106673,7,830.9282191995703,6,2,102.50513723321151,0.05853365169737082,D
33,3,78180,"Wakefield town, Carroll County, New Hampshire",5201,44.79970416131311,116.09451663503027,New Hampshire,43.6422128,-71.0123276,1,116.09451663503027,1,0,116.03078578075933,0.008618402377188967,D
50,11,61750,"St. Albans town, Franklin County, Vermont",6988,60.58730136324008,115.33770019074994,Vermont,44.8078225,-73.1393015,3,346.0131005722498,3,1,156.92050465777817,0.01911796043826512,D
